time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,0,0,1,1
2025-11-15 00:00:00+00:00,1,1,0,0
2025-11-17 00:00:00+00:00,0,0,2,1
2025-11-18 00:00:00+00:00,0,0,2,1
2025-11-20 00:00:00+00:00,0,0,2,1
2025-11-24 00:00:00+00:00,0,0,1,1
2025-11-25 00:00:00+00:00,15,14,30,1
2025-11-26 00:00:00+00:00,2,2,5,1
2025-11-27 00:00:00+00:00,4,4,0,0
2025-11-28 00:00:00+00:00,3,3,0,0
2025-11-29 00:00:00+00:00,4,4,0,0
2025-11-30 00:00:00+00:00,3,3,0,0
2025-12-01 00:00:00+00:00,14,6,0,0
2025-12-02 00:00:00+00:00,34,10,0,0
2025-12-03 00:00:00+00:00,27,8,4,1
2025-12-04 00:00:00+00:00,3,3,0,0
2025-12-05 00:00:00+00:00,5,5,0,0
2025-12-06 00:00:00+00:00,3,3,0,0
2025-12-07 00:00:00+00:00,9,5,0,0
2025-12-08 00:00:00+00:00,10,6,0,0
2025-12-09 00:00:00+00:00,2,2,0,0
2025-12-10 00:00:00+00:00,10,6,0,0
2025-12-11 00:00:00+00:00,9,5,0,0
2025-12-12 00:00:00+00:00,4,4,0,0
2025-12-13 00:00:00+00:00,7,3,0,0
2025-12-14 00:00:00+00:00,2,2,0,0
2025-12-15 00:00:00+00:00,8,4,0,0
2025-12-16 00:00:00+00:00,2,2,0,0
2025-12-17 00:00:00+00:00,10,6,0,0
2025-12-18 00:00:00+00:00,7,3,0,0
2025-12-19 00:00:00+00:00,7,3,0,0
2025-12-20 00:00:00+00:00,5,5,0,0
2025-12-21 00:00:00+00:00,14,6,0,0
2025-12-22 00:00:00+00:00,9,5,0,0
2025-12-23 00:00:00+00:00,4,4,0,0
2025-12-24 00:00:00+00:00,3,3,0,0
2025-12-25 00:00:00+00:00,10,4,0,0
2025-12-26 00:00:00+00:00,16,6,0,0
2025-12-27 00:00:00+00:00,9,3,0,0
2025-12-28 00:00:00+00:00,10,4,0,0
2025-12-29 00:00:00+00:00,5,3,0,0
2025-12-30 00:00:00+00:00,9,5,0,0
2025-12-31 00:00:00+00:00,18,9,0,0
2026-01-01 00:00:00+00:00,6,3,0,0
2026-01-02 00:00:00+00:00,2,2,0,0
2026-01-03 00:00:00+00:00,5,3,0,0
2026-01-04 00:00:00+00:00,7,3,0,0
2026-01-05 00:00:00+00:00,7,3,0,0
2026-01-06 00:00:00+00:00,9,5,0,0
2026-01-07 00:00:00+00:00,13,5,0,0
2026-01-08 00:00:00+00:00,8,4,0,0
2026-01-09 00:00:00+00:00,2,2,0,0
2026-01-10 00:00:00+00:00,13,5,0,0
2026-01-11 00:00:00+00:00,12,4,0,0
2026-01-12 00:00:00+00:00,9,4,0,0
2026-01-13 00:00:00+00:00,16,8,0,0
2026-01-14 00:00:00+00:00,14,6,0,0
2026-01-15 00:00:00+00:00,8,4,0,0
2026-01-16 00:00:00+00:00,15,7,0,0
2026-01-17 00:00:00+00:00,17,5,0,0
